Wall time,Step,Value
1733183482.266125,1336,0.0
1733183482.4278579,1337,-1.0
1733183483.409135,1343,0.0
1733183484.349458,1349,0.0
1733183485.272245,1355,-1.0
1733183485.9015381,1359,0.0
1733183486.2220218,1361,-1.0
1733183487.014556,1366,0.0
1733183487.650497,1370,-1.0
1733183488.750891,1377,0.0
1733183489.0814312,1379,-1.0
1733183489.575794,1382,-1.0
1733183489.921987,1384,0.0
1733183490.085088,1385,-1.0
1733183490.592861,1388,-1.0
1733183490.75804,1389,0.0
1733183491.0846279,1391,-1.0
1733183491.238091,1392,0.0
1733183491.7111318,1395,0.0
1733183494.444597,1412,-1.0
1733183494.602924,1413,0.0
1733183494.7658298,1414,0.0
1733183494.9229598,1415,0.1785714328289032
1733183495.55541,1419,0.0
1733183496.0427809,1422,0.0
1733183496.675607,1426,0.0
1733183496.831806,1427,0.0
1733183496.9937909,1428,0.0
1733183497.631464,1432,0.0
1733183497.800048,1433,0.0
1733183497.968399,1434,0.0
1733183498.295112,1436,-1.0
1733183498.629819,1438,0.0
1733183498.947607,1440,0.0
1733183499.26938,1442,-1.0
1733183500.571661,1450,0.0
1733183501.374284,1455,0.050724636763334274
1733183501.531683,1456,0.0
1733183503.007636,1465,0.0
1733183503.170736,1466,0.0
1733183504.982811,1477,0.0
1733183505.75858,1482,0.0
1733183506.240294,1485,0.0
1733183506.407307,1486,0.05607476457953453
1733183506.891427,1489,0.0555555559694767
1733183507.208894,1491,0.0
1733183507.3682659,1492,0.0
1733183508.680297,1500,0.012345679104328156
1733183508.845579,1501,0.0
1733183509.0059378,1502,-1.0
1733183509.175283,1503,0.03125
1733183509.6783519,1506,0.0
1733183510.006005,1508,-1.0
1733183510.170608,1509,0.0
1733183510.340786,1510,0.0
1733183511.6911108,1518,0.10869564861059189
1733183512.521624,1523,-1.0
1733183512.6895082,1524,0.0
1733183513.1760519,1527,0.0
1733183514.384875,1534,0.0
1733183514.6971421,1536,0.0
1733183516.347192,1546,0.0
1733183517.142577,1551,0.0
1733183517.306931,1552,0.04545454680919647
1733183517.636649,1554,0.0
1733183517.793639,1555,0.0
1733183518.766252,1561,0.0
1733183518.926068,1562,-1.0
1733183519.941684,1568,-1.0
1733183520.112828,1569,0.0
1733183521.677275,1578,0.0
1733183522.316424,1582,0.0625
1733183522.641931,1584,0.0
1733183523.287391,1588,0.06896551698446274
1733183524.651702,1597,0.0
1733183524.979087,1599,0.03125
1733183525.461408,1602,0.0
1733183525.793343,1604,-1.0
1733183525.9398882,1605,0.0
1733183526.6727831,1610,0.016393441706895828
1733183527.143769,1613,-1.0
1733183527.955318,1618,0.0
1733183528.277287,1620,0.0
1733183528.846296,1624,0.0
1733183529.139764,1626,0.01666666753590107
1733183529.297933,1627,0.0
1733183529.4691699,1628,-1.0
1733183529.8104472,1630,0.0
1733183530.1521778,1632,0.03846153989434242
1733183530.9296021,1637,-1.0
1733183531.381471,1640,-1.0
1733183531.687754,1642,0.0
1733183532.182963,1645,0.0
1733183532.6876302,1648,0.0
1733183533.285367,1652,-1.0
1733183533.716436,1655,-1.0
1733183534.362586,1659,0.0
1733183534.5352268,1660,0.0
1733183534.6965702,1661,-1.0
1733183535.7615948,1668,0.0
1733183536.056731,1670,-1.0
1733183536.3868742,1672,0.0
1733183536.9087949,1675,0.0
1733183537.0822332,1676,-1.0
1733183538.007492,1682,-1.0
1733183538.1720362,1683,0.0
1733183538.8223512,1687,0.0
1733183539.511897,1691,-1.0
1733183540.01928,1694,-1.0
1733183540.17094,1695,0.0
1733183540.322266,1696,0.125
1733183540.480034,1697,0.03448275849223137
1733183540.7836459,1699,0.0
1733183541.2967029,1702,0.025641025975346565
1733183542.433804,1709,-1.0
1733183542.587305,1710,0.0
1733183543.372205,1715,-1.0
1733183543.722928,1717,0.0
1733183543.892919,1718,-1.0
1733183544.063925,1719,0.0
1733183545.4375029,1728,0.0
1733183546.114254,1732,0.0
1733183546.284987,1733,-1.0
1733183546.452907,1734,0.0
1733183546.625949,1735,0.1015625
1733183546.915158,1737,0.0
1733183547.6714911,1742,-1.0
1733183547.8178968,1743,0.0
1733183548.172907,1745,-1.0
1733183548.351093,1746,0.0
1733183548.529195,1747,0.0
1733183549.01744,1750,0.0
1733183549.345896,1752,0.0
1733183549.497826,1753,0.0
1733183549.6694882,1754,-1.0
1733183551.165807,1763,-1.0
1733183551.625998,1766,-1.0
1733183553.105391,1775,-1.0
1733183554.0519621,1781,-1.0
1733183554.209395,1782,0.09756097197532654
1733183555.189623,1788,0.0
1733183555.3591611,1789,0.0
1733183555.5125031,1790,-1.0
1733183555.8472772,1792,0.0
1733183556.706848,1798,0.0
1733183557.65744,1804,0.0
1733183557.827394,1805,-1.0
1733183559.0430431,1813,0.0
1733183559.190849,1814,-1.0
1733183559.702899,1817,-1.0
1733183560.200316,1820,-1.0
1733183560.801791,1824,0.0
1733183561.089565,1826,-1.0
1733183561.698594,1830,0.0
1733183562.670496,1836,0.0
1733183563.251341,1840,0.0
1733183563.3942752,1841,0.125
1733183563.8527439,1844,-1.0
1733183564.180264,1846,0.0
1733183564.678539,1849,0.0
1733183565.315702,1853,-1.0
1733183565.587253,1855,0.0
1733183565.8987288,1857,0.0
1733183566.0422552,1858,0.0
1733183566.187844,1859,-1.0
1733183567.33218,1866,0.0
1733183567.6293042,1868,-1.0
1733183567.773716,1869,0.0
1733183568.6589289,1875,0.0
1733183568.828464,1876,0.0
1733183568.977474,1877,-1.0
1733183569.302743,1879,0.0
1733183569.641216,1881,0.0
1733183571.5579882,1893,0.0
1733183572.911605,1902,0.0
1733183573.5415602,1906,0.0
1733183574.372376,1911,0.0
1733183574.5315042,1912,0.0
1733183575.267544,1917,0.0
1733183575.412689,1918,0.0
1733183575.5811899,1919,-1.0
1733183576.2153668,1923,0.0
1733183576.377837,1924,0.0
1733183577.272933,1930,0.0
1733183577.86627,1934,-1.0
1733183578.035991,1935,0.0
1733183578.2018418,1936,0.0
1733183578.532178,1938,0.0
1733183578.689673,1939,0.0
1733183579.462485,1944,0.0
1733183579.92854,1947,0.0
1733183580.24308,1949,-1.0
1733183580.7518861,1952,-1.0
1733183581.263526,1955,-1.0
1733183581.700004,1958,-1.0
1733183581.995692,1960,0.0
1733183582.920867,1966,0.0
1733183583.085376,1967,-1.0
1733183583.408273,1969,0.025974025949835777
1733183583.711074,1971,0.0
1733183585.09994,1980,0.0
1733183585.269427,1981,0.0
1733183585.434603,1982,-1.0
1733183585.595482,1983,0.0
1733183587.7456908,1997,-1.0
1733183588.418744,2001,0.0
1733183589.0540721,2005,0.0
1733183589.21435,2006,-1.0
1733183589.721438,2009,0.03703703731298447
1733183589.8883681,2010,0.0
1733183590.391531,2013,0.0
1733183590.68173,2015,-1.0
1733183590.971236,2017,0.0
1733183591.754349,2022,0.0
1733183592.25223,2025,0.0
1733183592.583113,2027,-1.0
1733183592.753673,2028,0.04918032884597778
1733183593.074833,2030,0.023622047156095505
1733183593.525414,2033,-1.0
1733183593.980066,2036,-1.0
1733183594.31636,2038,0.0
1733183594.8093598,2041,0.0
1733183595.3119628,2044,0.0
1733183595.458551,2045,-1.0
1733183595.883001,2048,-1.0
1733183596.361794,2051,-1.0
1733183597.63902,2059,0.0
1733183597.7987719,2060,-1.0
1733183598.108279,2062,0.0
1733183598.8997629,2067,0.0
1733183599.743662,2072,0.0
1733183599.900471,2073,0.0
1733183600.0477781,2074,0.0
1733183600.338976,2076,0.0
1733183600.488837,2077,0.0
1733183600.7732139,2079,0.0
1733183601.0934982,2081,-1.0
1733183601.586316,2084,0.10000000149011612
1733183601.757066,2085,0.04838709533214569
1733183602.378853,2089,0.0
1733183603.118034,2094,0.0
1733183603.431011,2096,-1.0
1733183604.445717,2102,-1.0
1733183604.588365,2103,0.0
1733183604.7350311,2104,0.0
1733183604.890267,2105,-1.0
1733183605.044745,2106,0.0
1733183605.492696,2109,0.0
1733183605.818933,2111,-1.0
1733183606.313592,2114,-1.0
1733183606.478461,2115,0.0
1733183606.93857,2118,0.2857142984867096
1733183607.2233999,2120,-1.0
1733183607.51125,2122,0.0
1733183607.654646,2123,-1.0
1733183607.805654,2124,0.0
1733183608.457131,2128,0.0
1733183609.087992,2132,-1.0
1733183609.237333,2133,0.0
1733183609.405931,2134,0.0
1733183609.999094,2138,-1.0
1733183610.1702669,2139,0.0
1733183610.492367,2141,-1.0
1733183610.656801,2142,0.0
1733183610.9930398,2144,-1.0
1733183611.155752,2145,0.0
1733183611.2960598,2146,0.0
1733183611.587211,2148,0.0
1733183611.736827,2149,0.0
1733183612.042146,2151,0.0
1733183612.518218,2154,0.0
